id,name,status,net,window_start,window_end,is_crewed,rocket_name,rocket_full_name,rocket_manufacturer,provider,mission_type,orbit,pad_name,location_name,location_country
b1a75709-2ff8-497d-aa70-51b38d441cd6,Thor DM-21 Agena-B | KH-5 2,Launch Successful,1961-04-08T19:21:08Z,1961-04-08T19:21:08Z,1961-04-08T19:21:08Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,Government/Top Secret,Low Earth Orbit,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",
6abb4584-1ae8-4280-ab94-eec203164091,Vostok-K | Vostok 1,Launch Successful,1961-04-12T06:07:00Z,1961-04-12T06:07:00Z,1961-04-12T06:07:00Z,,Vostok,Vostok-K,Soviet Space Program,Soviet Space Program,Human Exploration,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
f944bd44-59c9-4da1-8330-ee4541d7a5a3,Trailblazer 1 | Trailblazer 1g,Launch Successful,1961-04-21T05:56:20Z,1961-04-21T05:56:20Z,1961-04-21T05:56:20Z,,Trailblazer 1,Trailblazer 1,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Test Flight,Suborbital,Unknown Pad,"Wallops Flight Facility, Virginia, USA",
e1e4a144-47f8-489d-88ee-c41ae09cd0b7,Atlas LV-3B | Mercury-Atlas 3,Launch Failure,1961-04-25T16:15:00Z,1961-04-25T16:15:00Z,1961-04-25T16:15:00Z,,Atlas LV-3B,Atlas LV-3B,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Test Flight,Suborbital,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",
f5303aad-0672-4825-96d6-996d83d1e7f2,Juno II | Explorer 11,Launch Successful,1961-04-27T14:16:38Z,1961-04-27T14:16:38Z,1961-04-27T14:16:38Z,,Juno II,Juno II,Army Ballistic Missile Agency,Army Ballistic Missile Agency,,,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",
646b10d8-b33b-4241-8982-3ea60a4fd3a8,Little Joe | LJ-5B,Launch Successful,1961-04-28T14:03:00Z,1961-04-28T14:03:00Z,1961-04-28T14:03:00Z,,Little Joe,Little Joe,North American Aviation,National Aeronautics and Space Administration,Test Flight,Suborbital,Launch Area 4,"Wallops Flight Facility, Virginia, USA",
9fe0c6ce-7858-4915-b4e3-7c93f8e56177,Redstone MRLV | Mercury-Redstone 3,Launch Successful,1961-05-05T14:34:13Z,1961-05-05T14:34:13Z,1961-05-05T14:34:13Z,,Redstone,Redstone MRLV,Chrysler,National Aeronautics and Space Administration,Human Exploration,Suborbital,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
baf048e4-c41b-4edc-aa61-70be2837acb4,Juno II | S-45A,Launch Failure,1961-05-24T19:48:05Z,1961-05-24T19:48:05Z,1961-05-24T19:48:05Z,,Juno II,Juno II,Army Ballistic Missile Agency,Army Ballistic Missile Agency,,,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",
d94bf87d-b0eb-4935-8143-e8749e424d5c,Thor DM-21 Agena-B | KH-5 3,Launch Failure,1961-06-08T21:16:00Z,1961-06-08T21:16:00Z,1961-06-08T21:16:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,Government/Top Secret,Low Earth Orbit,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
69c1757e-bb8f-4ce2-a29a-0a4aadb6a2c9,Thor DM-21 Agena-B | Discoverer 25,Launch Successful,1961-06-16T23:02:52Z,1961-06-16T23:02:52Z,1961-06-16T23:02:52Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",
